,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,18,NZ,1586662593,51,-46.19,168.86,72.0,11.99
1,Orcopampa,23,PE,1586662593,21,-15.27,-72.34,44.11,0.92
2,Tadine,19,NC,1586662593,59,-21.55,167.88,80.28,9.01
3,Pochutla,79,MX,1586662593,81,15.74,-96.47,78.01,7.31
4,Talaya,100,RU,1586662593,84,61.38,152.75,22.12,1.83
5,Miquelon,27,PM,1586662593,92,47.1,-56.38,33.33,20.13
6,Korla,41,CN,1586662593,15,41.76,86.15,65.52,2.44
7,Corowa,40,AU,1586662594,59,-36.03,146.38,63.0,10.29
8,Yellowknife,20,CA,1586661900,51,62.46,-114.35,14.0,9.17
9,Rikitea,91,PF,1586662594,77,-23.12,-134.97,78.55,7.2
10,Grosse Pointe Park,1,US,1586662594,57,42.38,-82.94,51.8,6.93
11,Hermanus,100,ZA,1586662594,95,-34.42,19.23,63.0,7.0
12,Torbay,5,CA,1586662594,96,47.67,-52.73,33.01,21.92
13,Puerto Ayora,53,EC,1586662003,87,-0.74,-90.35,79.0,1.99
14,Lavrentiya,97,RU,1586662004,96,65.58,-171.0,32.4,9.89
15,George Town,20,MY,1586661923,63,5.41,100.34,91.4,2.24
16,Charters Towers,0,AU,1586662594,22,-20.1,146.27,88.16,10.27
17,Vaini,40,TO,1586662594,69,-21.2,-175.2,78.8,4.7
18,Albany,1,US,1586662403,90,42.6,-73.97,37.4,8.05
19,Ushuaia,40,AR,1586662594,86,-54.8,-68.3,39.2,6.93
20,Joshīmath,13,IN,1586662595,12,30.57,79.57,64.35,2.33
21,Kapaa,90,US,1586662595,73,22.08,-159.32,78.8,10.29
22,Nyurba,84,RU,1586662595,76,63.28,118.33,36.43,9.48
23,Bluff,20,NZ,1586662002,52,-46.6,168.33,71.01,11.99
24,Ngunguru,98,NZ,1586662595,92,-35.62,174.5,66.99,5.01
25,Mar del Plata,100,AR,1586662441,87,-38.0,-57.56,57.99,4.7
26,Saldanha,100,ZA,1586662595,100,-33.01,17.94,59.0,13.87
27,Berdigestyakh,100,RU,1586662595,83,62.1,126.7,34.05,11.54
28,Sørland,100,NO,1586661725,84,67.67,12.69,33.78,20.54
29,Beidao,0,CN,1586662596,20,34.57,105.89,59.59,4.56
30,Kieta,99,PG,1586662596,74,-6.22,155.63,84.07,4.45
31,Busselton,75,AU,1586662596,37,-33.65,115.33,82.0,9.98
32,Cape Town,75,ZA,1586662567,100,-33.93,18.42,63.0,21.92
33,Blagoyevo,97,RU,1586662596,94,63.37,47.92,21.34,1.79
34,Rome,1,US,1586662564,74,43.21,-75.46,33.01,3.36
35,Pevek,6,RU,1586662002,92,69.7,170.31,11.39,13.89
36,New Norfolk,75,AU,1586662596,55,-42.78,147.06,61.0,12.75
37,Jishui,0,CN,1586662596,29,33.73,115.4,66.27,16.78
38,Souillac,40,MU,1586661938,83,-20.52,57.52,80.01,14.99
39,Cabedelo,20,BR,1586662596,94,-6.98,-34.83,77.0,3.36
40,Butaritari,98,KI,1586662596,75,3.07,172.79,83.01,10.04
41,Hilo,90,US,1586662437,61,19.73,-155.09,80.6,4.7
42,Saskylakh,0,RU,1586662011,91,71.92,114.08,4.95,7.52
43,Whitehorse,5,CA,1586661724,27,60.72,-135.05,41.0,3.36
44,Mossamedes,31,AO,1586662011,66,-15.2,12.15,75.83,5.12
45,Saurimo,99,AO,1586662597,71,-9.66,20.39,62.37,5.26
46,Miraflores,5,MX,1586662597,21,19.22,-98.81,71.6,9.17
47,Yangi Marg`ilon,66,UZ,1586662597,62,40.43,71.72,57.2,4.7
48,Cherskiy,80,RU,1586661998,96,68.75,161.3,23.36,15.97
49,Ribeira Grande,0,PT,1586662597,74,38.52,-28.7,60.96,5.37
50,Denizli Province,4,TR,1586662597,74,37.84,29.07,37.4,3.71
51,Avarua,100,CK,1586662598,89,-21.21,-159.78,84.2,2.24
52,Punta Arenas,75,CL,1586662598,87,-53.15,-70.92,42.8,5.82
53,Fairbanks,90,US,1586662493,48,64.84,-147.72,46.4,3.36
54,Hong Kong,7,HK,1586661975,43,22.29,114.16,73.0,16.11
55,Bambous Virieux,40,MU,1586662598,83,-20.34,57.76,80.01,14.99
56,Berlevåg,100,NO,1586661784,73,70.86,29.09,24.8,14.99
57,Chui,0,UY,1586662598,79,-33.7,-53.46,60.82,6.06
58,Talnakh,40,RU,1586662002,79,69.49,88.4,23.0,35.79
59,Kyshtovka,43,RU,1586662598,80,56.55,76.63,37.31,7.02
60,Bandar-e Lengeh,100,IR,1586662572,83,26.56,54.88,78.8,18.34
61,Mehamn,100,NO,1586662598,73,71.04,27.85,24.8,14.99
62,Holland,90,US,1586662343,76,42.79,-86.11,52.0,3.36
63,East London,100,ZA,1586662598,77,-33.02,27.91,69.8,9.17
64,Henties Bay,3,NA,1586662598,86,-22.12,14.28,64.0,1.99
65,Gimli,80,CA,1586662493,61,50.63,-96.99,28.99,8.01
66,Bethel,1,US,1586662599,69,41.37,-73.41,46.0,4.7
67,Praia da Vitória,40,PT,1586662599,82,38.73,-27.07,60.8,11.41
68,Alice Springs,66,AU,1586662022,12,-23.7,133.88,86.0,5.82
69,Kuching,40,MY,1586662599,74,1.55,110.33,87.8,3.36
70,Leningradskiy,85,RU,1586662599,91,69.38,178.42,18.28,4.36
71,Saint George,1,US,1586662540,34,37.1,-113.58,64.4,8.05
72,Geraldton,75,AU,1586662003,65,-28.77,114.6,82.99,10.29
73,Iquique,90,CL,1586662599,68,-20.22,-70.14,71.6,13.87
74,Alta Floresta,100,BR,1586662599,89,-9.88,-56.09,72.79,2.24
75,Port Elizabeth,60,ZA,1586662338,45,-33.92,25.57,68.0,14.99
76,Salekhard,73,RU,1586662599,93,66.53,66.6,12.65,3.65
77,Ahipara,79,NZ,1586662599,73,-35.17,173.17,68.9,20.09
78,Barrow,90,US,1586662599,92,71.29,-156.79,26.6,18.34
79,Faanui,8,PF,1586662600,73,-16.48,-151.75,82.62,13.2
80,Quelimane,20,MZ,1586662600,94,-17.88,36.89,71.6,3.36
81,Khatanga,100,RU,1586662600,97,71.97,102.5,17.96,11.74
82,Vardø,48,NO,1586662600,94,70.37,31.11,26.17,10.33
83,Port Blair,100,IN,1586662600,72,11.67,92.75,83.19,7.54
84,Galesong,20,ID,1586662600,70,-5.32,119.37,87.8,5.82
85,Port Moresby,40,PG,1586662600,70,-9.44,147.18,87.8,13.87
86,Alekseyevsk,4,RU,1586662600,62,57.84,108.35,40.73,4.03
87,Kushima,75,JP,1586662601,93,31.46,131.23,57.2,6.93
88,Dhārchula,0,IN,1586662601,12,29.85,80.53,73.85,2.33
89,Samarai,81,PG,1586662601,59,-10.62,150.67,83.52,7.87
90,Mayo,1,US,1586662601,70,38.89,-76.51,52.0,2.28
91,Lebu,0,CL,1586662601,74,-37.62,-73.65,51.85,13.51
92,Pisco,40,PE,1586662601,78,-13.7,-76.22,73.4,2.24
93,Oshakati,48,NA,1586662549,94,-17.78,15.68,68.0,2.24
94,Marawi,23,PH,1586662601,40,8.0,124.29,84.78,4.5
95,Hobart,75,AU,1586662601,55,-42.88,147.33,61.0,12.75
96,Kota Belud,20,MY,1586662601,66,6.35,116.43,89.6,5.82
97,Chokurdakh,100,RU,1586662007,97,70.63,147.92,29.89,12.95
98,Buin,75,CL,1586662602,72,-33.73,-70.75,59.0,5.82
99,Atuona,44,PF,1586662602,65,-9.8,-139.03,82.96,5.41
100,Kruisfontein,100,ZA,1586662602,54,-34.0,24.73,60.84,8.32
101,Tari,9,NG,1586662602,21,12.41,4.49,84.6,7.9
102,Ancud,0,CL,1586662602,100,-41.87,-73.82,37.4,4.7
103,Arraial do Cabo,79,BR,1586662602,76,-22.97,-42.03,72.41,5.82
104,Luang Prabang,90,LA,1586662602,88,19.89,102.13,73.4,2.24
105,Lata,75,PT,1586661943,93,40.16,-8.33,57.0,5.82
106,Vizinga,100,RU,1586662602,95,61.07,50.1,23.32,4.63
107,Qaanaaq,100,GL,1586662602,72,77.48,-69.36,12.18,5.19
108,Airai,97,TL,1586662002,69,-8.93,125.41,66.65,0.94
109,Newport,7,GB,1586662514,81,51.59,-3.0,52.0,3.36
110,Aripuanã,100,BR,1586662602,92,-9.17,-60.63,74.12,1.92
111,Kuusamo,86,FI,1586662401,85,65.97,29.18,12.2,4.7
